sale_date,category,product,variety,packaging,level,size,weight,quantity,today_highest_price,today_lowest_price,today_average_price
2024. 10. 19,과실류,사과,시나노골드,상자,특6,없음,20,41,63500,62000,63317
2024. 10. 19,과실류,사과,시나노골드,상자,특7,없음,20,22,56800,54800,56345
2024. 10. 19,과실류,사과,시나노골드,상자,특8,없음,20,9,53600,51600,53378
2024. 10. 19,과실류,사과,아리수,상자,등외,없음,20,8,22000,22000,22000
2024. 10. 19,과실류,사과,아리수,상자,보1,없음,20,10,15900,15900,15900
2024. 10. 19,과실류,사과,아리수,상자,상2,없음,20,5,36900,36900,36900
2024. 10. 19,과실류,사과,아리수,상자,상3,없음,20,56,26300,26300,26300
2024. 10. 19,과실류,사과,알프스오또매,상자,특,없음,8,35,10200,10200,10200
2024. 10. 19,과실류,사과,양광(양강),상자,등외,없음,20,4,19900,15900,18900
2024. 10. 19,과실류,사과,양광(양강),상자,보1,없음,20,13,26000,11100,16431
2024. 10. 19,과실류,사과,양광(양강),상자,상1,없음,20,20,64000,54500,62100
2024. 10. 19,과실류,사과,양광(양강),상자,상2,없음,20,14,66900,29900,35564
2024. 10. 19,과실류,사과,양광(양강),상자,상3,없음,20,25,66300,23500,25516
2024. 10. 19,과실류,사과,양광(양강),상자,특2,없음,20,3,84900,84900,84900
2024. 10. 19,과실류,사과,양광(양강),상자,특3,없음,20,16,90300,90300,90300
2024. 10. 19,과실류,사과,양광(양강),상자,특4,없음,20,12,99900,63600,96875
2024. 10. 19,과실류,사과,양광(양강),상자,특5,없음,20,3,105900,58800,90200
2024. 10. 19,과실류,사과,양광(양강),상자,특6,없음,20,1,90900,90900,90900
2024. 10. 19,과실류,사과,엔부,상자,등외,없음,20,2,50000,35900,42950
2024. 10. 19,과실류,사과,엔부,상자,보1,없음,20,7,34900,25000,31229
2024. 10. 19,과실류,사과,엔부,상자,상1,없음,20,33,63300,48900,59548
2024. 10. 19,과실류,사과,엔부,상자,상2,없음,20,16,62000,48000,54363
2024. 10. 19,과실류,사과,엔부,상자,상3,없음,20,4,44200,36300,41450
2024. 10. 19,과실류,사과,엔부,상자,특2,없음,20,1,71200,71200,71200
2024. 10. 19,과실류,사과,엔부,상자,특3,없음,20,23,69300,56900,68057
2024. 10. 19,과실류,사과,엔부,상자,특4,없음,20,53,75900,63000,68966
2024. 10. 19,과실류,사과,엔부,상자,특5,없음,20,40,78000,61100,68643
2024. 10. 19,과실류,사과,엔부,상자,특6,없음,20,23,68900,51100,58335
2024. 10. 19,과실류,사과,엔부,상자,특7,없음,20,7,65600,53300,58657
2024. 10. 19,과실류,사과,엔부,상자,특8,없음,20,3,61100,50900,54700
2024. 10. 19,과실류,사과,요까,상자,등외,없음,20,1,18900,18900,18900
2024. 10. 19,과실류,사과,요까,상자,보1,없음,20,2,14900,14500,14700
2024. 10. 19,과실류,사과,요까,상자,상1,없음,20,3,29900,29900,29900
2024. 10. 19,과실류,사과,요까,상자,상2,없음,20,3,47900,24500,32300
2024. 10. 19,과실류,사과,요까,상자,상3,없음,20,1,42600,42600,42600
2024. 10. 19,과실류,사과,요까,상자,특3,없음,20,1,39900,39900,39900
2024. 10. 19,과실류,사과,요까,상자,특4,없음,20,4,38900,38900,38900
2024. 10. 19,과실류,사과,요까,상자,특5,없음,20,3,60900,36300,52700
2024. 10. 19,과실류,사과,요까,상자,특6,없음,20,2,60900,35000,47950
2024. 10. 19,과실류,사과,요까,상자,특7,없음,20,1,58900,58900,58900
2024. 10. 19,과실류,사과,홍로,상자,등외,없음,20,3,21600,21600,21600
2024. 10. 19,과실류,사과,홍로,상자,보1,없음,20,4,14000,14000,14000
2024. 10. 19,과실류,사과,홍로,상자,상2,없음,20,38,44900,30000,38897
2024. 10. 19,과실류,사과,홍로,상자,상3,없음,20,7,40000,26300,34129
2024. 10. 19,과실류,사과,홍로,상자,특5,없음,20,1,54900,54900,54900
2024. 10. 19,과실류,사과,홍로,상자,특6,없음,20,54,72900,52500,70633
2024. 10. 19,과실류,사과,홍로,상자,특7,없음,20,14,69000,69000,69000
2024. 10. 19,과실류,사과,후브락스,상자,등외,없음,20,16,66100,55500,62113
2024. 10. 19,과실류,사과,후브락스,상자,보1,없음,20,47,51100,41600,47972
2024. 10. 19,과실류,사과,후브락스,상자,상1,없음,20,128,75900,59100,66132
2024. 10. 19,과실류,사과,후브락스,상자,상2,없음,20,142,89300,65200,80538
2024. 10. 19,과실류,사과,후브락스,상자,상3,없음,20,34,78500,64100,74941
2024. 10. 19,과실류,사과,후브락스,상자,특3,없음,20,39,118900,91500,111833
2024. 10. 19,과실류,사과,후브락스,상자,특4,없음,20,179,103300,87200,92946
2024. 10. 19,과실류,사과,후브락스,상자,특5,없음,20,242,109000,88000,97174
2024. 10. 19,과실류,사과,후브락스,상자,특6,없음,20,140,102900,85900,92434
2024. 10. 19,과실류,사과,후브락스,상자,특7,없음,20,66,95500,85200,91892
2024. 10. 19,과실류,사과,후브락스,상자,특8,없음,20,21,82900,73200,80762
2024. 10. 19,과실류,사과,후지챔피온,상자,등외,없음,20,8,63300,43000,45538
2024. 10. 19,과실류,사과,후지챔피온,상자,보1,없음,20,34,38300,38300,38300
2024. 10. 19,과실류,사과,후지챔피온,상자,상1,없음,20,4,79900,50200,65050
2024. 10. 19,과실류,사과,후지챔피온,상자,상2,없음,20,13,92000,63000,67462
2024. 10. 19,과실류,사과,후지챔피온,상자,상3,없음,20,7,59900,59900,59900
2024. 10. 19,과실류,사과,후지챔피온,상자,특3,없음,20,4,143600,143600,143600
2024. 10. 19,과실류,사과,후지챔피온,상자,특4,없음,20,22,133000,88100,124836
2024. 10. 19,과실류,사과,후지챔피온,상자,특5,없음,20,31,129900,87000,110526
2024. 10. 19,과실류,사과,후지챔피온,상자,특6,없음,20,23,113000,86200,95522
2024. 10. 19,과실류,사과,후지챔피온,상자,특7,없음,20,13,93300,87300,88223
2024. 10. 19,과실류,사과,후지챔피온,상자,특8,없음,20,7,80100,79800,79843
2024. 10. 18,과실류,사과,K-1,상자,등외,없음,20,5,57700,51600,52820
2024. 10. 18,과실류,사과,K-1,상자,보1,없음,20,22,44000,39300,41218
2024. 10. 18,과실류,사과,K-1,상자,상1,없음,20,10,90000,57100,70820
2024. 10. 18,과실류,사과,K-1,상자,상2,없음,20,19,90000,62300,67300
2024. 10. 18,과실류,사과,K-1,상자,상3,없음,20,6,61100,59900,60900
2024. 10. 18,과실류,사과,K-1,상자,특3,없음,20,6,140500,140500,140500
2024. 10. 18,과실류,사과,K-1,상자,특4,없음,20,28,129900,84400,109425
2024. 10. 18,과실류,사과,K-1,상자,특5,없음,20,35,129900,87700,102226
2024. 10. 18,과실류,사과,K-1,상자,특6,없음,20,24,115900,79900,87733
2024. 10. 18,과실류,사과,K-1,상자,특7,없음,20,12,93300,77700,81375
2024. 10. 18,과실류,사과,K-1,상자,특8,없음,20,5,79900,72600,74660
2024. 10. 18,과실류,사과,감홍,상자,등외,없음,20,38,53000,15000,25271
2024. 10. 18,과실류,사과,감홍,상자,미달,없음,20,8,60000,3000,22713
2024. 10. 18,과실류,사과,감홍,상자,보1,없음,20,550,56200,8000,33022
2024. 10. 18,과실류,사과,감홍,상자,상1,없음,20,1332,136300,42000,74333
2024. 10. 18,과실류,사과,감홍,상자,상2,없음,20,796,116900,39900,66239
2024. 10. 18,과실류,사과,감홍,상자,상3,없음,20,148,71000,28000,41307
2024. 10. 18,과실류,사과,감홍,상자,특2,없음,20,21,166000,70000,136133
2024. 10. 18,과실류,사과,감홍,상자,특3,없음,20,476,178900,66000,122154
2024. 10. 18,과실류,사과,감홍,상자,특4,없음,20,929,192300,45500,117009
2024. 10. 18,과실류,사과,감홍,상자,특5,없음,20,558,188800,57000,106489
2024. 10. 18,과실류,사과,감홍,상자,특6,없음,20,223,133300,53000,88759
2024. 10. 18,과실류,사과,감홍,상자,특7,없음,20,72,101000,39900,63588
2024. 10. 18,과실류,사과,감홍,상자,특8,없음,20,12,60000,33600,46500
2024. 10. 18,과실류,사과,감홍,상자,혼합,없음,20,4,135500,15000,52850
2024. 10. 18,과실류,사과,군마명월,상자,미달,없음,20,1,20000,20000,20000
2024. 10. 18,과실류,사과,군마명월,상자,보1,없음,20,1,12200,12200,12200
2024. 10. 18,과실류,사과,군마명월,상자,상1,없음,20,3,38900,38900,38900
2024. 10. 18,과실류,사과,군마명월,상자,상2,없음,20,3,44400,44400,44400
2024. 10. 18,과실류,사과,군마명월,상자,상3,없음,20,1,24400,24400,24400
2024. 10. 18,과실류,사과,군마명월,상자,특4,없음,20,7,54400,54400,54400
2024. 10. 18,과실류,사과,군마명월,상자,특5,없음,20,10,56900,56900,56900
2024. 10. 18,과실류,사과,군마명월,상자,특6,없음,20,6,46600,46600,46600
2024. 10. 18,과실류,사과,미안마,상자,등외,없음,20,65,71900,44000,57558
2024. 10. 18,과실류,사과,미안마,상자,미달,없음,20,1,11100,11100,11100
2024. 10. 18,과실류,사과,미안마,상자,보1,없음,20,203,55000,24900,37330
2024. 10. 18,과실류,사과,미안마,상자,상1,없음,20,75,88800,46900,61783
2024. 10. 18,과실류,사과,미안마,상자,상2,없음,20,202,96600,53300,67809
